mtop: 99.8768% within the range, 0.0822% underflow, 0.04095% overflow
AFBtau_C: 99.9993% within the range, 0.00035% underflow, 0.0003125% overflow
  [min, max]=[0.0161667768, 0.01638811326]
Aelectron_C: 100% within the range, 3.75e-05% underflow, 0% overflow
  [min, max]=[0.1472188689, 0.1474255213]
Amuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.147158019, 0.1474843395]
Atau_C: 99.9994% within the range, 0.00035% underflow, 0.0002125% overflow
  [min, max]=[0.1463532866, 0.1483054615]
AelectronPtau_C: 100% within the range, 3.75e-05% underflow, 0% overflow
  [min, max]=[0.1472188689, 0.1474255213]
AtauPtau_C: 99.9994% within the range, 0.00035% underflow, 0.0002125% overflow
  [min, max]=[0.1463532866, 0.1483054615]
Rbottom_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.21556436, 0.2161675531]
Rcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1709876244, 0.1734184723]
AFBbottom_C: 99.9999% within the range, 0% underflow, 5e-05% overflow
  [min, max]=[0.1031592396, 0.1034188195]
AFBcharm_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.07366860788, 0.07393755965]
Abottom_C: 99.9998% within the range, 3.75e-05% underflow, 0.0001375% overflow
  [min, max]=[0.9337561588, 0.9358098112]
Acharm_C: 99.9999% within the range, 0.0001% underflow, 0% overflow
  [min, max]=[0.6666880916, 0.6691158092]
BrWelectron_C: 99.9999% within the range, 8.75e-05% underflow, 0% overflow
  [min, max]=[0.108227392, 0.1085046867]
BrWmuon_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082302959, 0.1085369263]
BrWtau_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[0.1082278929, 0.1085356302]
deltag1Z_C: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001902719916, 0.001280980951]
deltaKgamma_C: 99.9995% within the range, 0.000525% underflow, 0% overflow
  [min, max]=[-0.002964506625, 0.002533716806]
lambdaZ_C: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.0006936216571, 0.0008297281356]
deltaguL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001249106823, 0.001230057387]
deltaguR_HLLHC_OO: 99.9999% within the range, 0% underflow, 0.000125% overflow
  [min, max]=[-0.0006276045751, 0.0006347897439]
deltagdL_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001424844346, 0.001534748711]
deltagdR_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.005494715777, 0.005347872964]
deltag1Z_HLLHC_OO: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001902719916, 0.001280980951]
deltaKgamma_HLLHC_OO: 99.9995% within the range, 0.000525% underflow, 0% overflow
  [min, max]=[-0.002964506625, 0.002533716806]
lambdaZ_HLLHC_OO: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.0006936216571, 0.0008297281356]
deltag1Z_OO_FCCee161: 100% within the range, 0% underflow, 0% overflow
  [min, max]=[-0.001902719916, 0.001280980951]
deltaKgamma_OO_FCCee161: 99.9995% within the range, 0.000525% underflow, 0% overflow
  [min, max]=[-0.002964506625, 0.002533716806]
lambdaZ_OO_FCCee161: 99.9999% within the range, 0% underflow, 6.25e-05% overflow
  [min, max]=[-0.0006936216571, 0.0008297281356]
deltageL_OO_FCCee161: 99.9991% within the range, 0% underflow, 0.000925% overflow
